City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Cururupu,BR,77.31,overcast clouds,-1.83,-44.87,
583,Kokopo,PG,84.99,overcast clouds,-4.35,152.26,
586,Padang,ID,77.0,scattered clouds,-0.95,100.35,
587,Lahaina,US,82.4,few clouds,20.88,-156.68,
589,Ahuimanu,US,80.6,broken clouds,21.44,-157.84,
590,Keta,GH,82.4,scattered clouds,5.92,0.99,
600,Dingle,PH,80.02,overcast clouds,11.0,122.67,
601,Progreso,MX,82.4,moderate rain,21.28,-89.67,
613,Vila Velha,BR,78.8,clear sky,-20.33,-40.29,
614,Yenagoa,NG,76.71,clear sky,4.92,6.26,
618,Mahajanga,MG,77.0,few clouds,-15.72,46.32,
622,Pangai,TO,82.4,moderate rain,-19.8,-174.35,
623,Jaguaribe,BR,78.89,overcast clouds,-5.89,-38.62,
626,Ewa Beach,US,84.2,scattered clouds,21.32,-158.01,
628,Barra Do Garcas,BR,77.61,few clouds,-15.89,-52.26,
631,Kiunga,PG,85.53,overcast clouds,-6.12,141.29,
634,Wiang Sa,TH,77.0,overcast clouds,8.64,99.37,
635,Lucea,JM,78.8,few clouds,18.45,-78.17,
639,Luganville,VU,84.2,broken clouds,-15.53,167.17,
647,Hobyo,SO,75.38,overcast clouds,5.35,48.53,
650,Batticaloa,LK,76.55,overcast clouds,7.71,81.69,
653,Soe,ID,78.4,light rain,-9.86,124.28,
655,Venado Tuerto,AR,76.87,clear sky,-33.75,-61.97,
661,Port Macquarie,AU,78.01,overcast clouds,-31.43,152.92,
662,Biak,ID,83.05,light rain,-0.91,122.88,
666,Santa Rosa,PH,81.0,few clouds,14.31,121.11,
669,Diebougou,BF,75.83,clear sky,10.97,-3.25,Hotel Le Consulat
